Emp;Nome;Area;DivBAt;DivCpDT;Kd;Qtobin
211;Totvs;Software e Dados;17.5;39.2;16.2;4.47255179249075
212;Tractebel;Energia Elétrica;28.8;14.9;14.7;1.96716941108325
213;Tran Paulist;Energia Elétrica;37.6;35.2;14;0.919402230959455
214;Trevisa;Outros;18.7;13.2;14.6;0.711593812164358
215;Trisul;Construção;55.4;64.7;3.7;0.615543296408236
216;Triunfo Part;Transporte Serviç;27.2;16.1;16.1;0.596670056061794
217;Tupy;Veiculos e peças;48.1;29.1;13.9;1.05054700369931
218;Ultrapar;Química;40.8;26.3;8.6;1.83546952027543
219;Unipar;Química;35.7;48.7;8.4;0.468322043522837
220;V-Agro;Outros;20.4;66.9;31.6;0.634947629216703
221;Vale;Mineração;23.2;11.5;23.6;1.00513917840476
222;Valid;Outros;36.3;34.5;12.7;2.53613763901781
223;Viavarejo;Comércio;31.4;73.6;19.7;0.584252378155728
224;Vicunha Text;Textil;35.4;35.1;26;0.510248565220843
225;Viver;Construção;48.7;77.7;10.1;0.498927857758062
226;Vulcabras;Textil;75.3;44.2;15.1;0.931587710114581
227;Weg;Máquinas Indust;30.3;61.2;11.7;1.91074068439351
228;Wetzel S/A;Veiculos e peças;36.2;29.9;20.3;0.451615976254224
229;Wilson Sons;Transporte Serviç;45.7;7.8;3.4;1.23679239784725
